               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.022217,            0.021592,            0.001472,             0.86367,             0.86691,              0.9019,             0.73425,            0.019894,            0.013595,             0.00088,            0.008812,            0.008812,            0.008812
                 122,            0.022527,            0.022028,           0.0016356,             0.86488,              0.8825,             0.90542,             0.73591,            0.019482,            0.013381,           0.0007654,           0.0088021,           0.0088021,           0.0088021
                 123,            0.022509,            0.022109,           0.0015455,             0.87362,             0.86285,             0.90291,             0.73471,            0.019409,            0.013387,          0.00068928,           0.0087922,           0.0087922,           0.0087922
                 124,            0.022036,            0.021818,           0.0015994,              0.8607,             0.87371,             0.90494,              0.7365,            0.019504,            0.013315,          0.00066617,           0.0087823,           0.0087823,           0.0087823
                 125,            0.022533,            0.021824,           0.0014851,             0.87079,             0.85759,             0.90412,             0.73896,            0.019486,            0.013253,          0.00073802,           0.0087724,           0.0087724,           0.0087724
                 126,            0.022408,            0.021601,            0.001515,             0.84966,             0.87366,             0.90136,             0.73475,             0.01995,            0.013382,           0.0007852,           0.0087625,           0.0087625,           0.0087625
                 127,            0.022154,             0.02176,           0.0014081,             0.87968,             0.85239,             0.90411,             0.73871,            0.019842,            0.013304,          0.00073207,           0.0087526,           0.0087526,           0.0087526
                 128,            0.021939,            0.021648,           0.0014123,             0.87659,             0.84565,             0.89797,             0.73525,            0.019836,            0.013365,          0.00075805,           0.0087427,           0.0087427,           0.0087427
                 129,            0.022171,            0.022356,           0.0013879,             0.87445,             0.85414,             0.89734,             0.73701,            0.019425,            0.013379,          0.00066678,           0.0087328,           0.0087328,           0.0087328
                 130,            0.022149,            0.021534,           0.0014383,              0.8572,             0.86846,             0.90058,             0.73717,            0.018931,            0.013215,          0.00058979,           0.0087229,           0.0087229,           0.0087229
                 131,            0.022456,            0.021768,           0.0015188,             0.87451,             0.86847,             0.90578,             0.74059,            0.019129,            0.013224,          0.00059886,            0.008713,            0.008713,            0.008713
                 132,            0.022328,             0.02234,           0.0014715,             0.87245,             0.86572,             0.90319,             0.73624,            0.019244,            0.013217,          0.00060497,           0.0087031,           0.0087031,           0.0087031
                 133,             0.02256,            0.022297,           0.0015102,             0.87972,             0.86482,             0.90497,             0.73983,            0.019481,             0.01329,          0.00063705,           0.0086932,           0.0086932,           0.0086932
                 134,            0.022211,             0.02172,           0.0014583,             0.87776,             0.86636,             0.90704,             0.73635,            0.019703,            0.013192,          0.00069213,           0.0086833,           0.0086833,           0.0086833
                 135,            0.021936,            0.021827,           0.0014955,             0.87787,             0.86722,             0.90805,             0.73689,            0.019713,            0.013168,          0.00071085,           0.0086734,           0.0086734,           0.0086734
                 136,            0.022054,            0.021893,           0.0014129,             0.87116,             0.87554,             0.91156,              0.7446,            0.019112,            0.013089,           0.0006308,           0.0086635,           0.0086635,           0.0086635
                 137,            0.021599,            0.021364,            0.001387,             0.88712,              0.8607,             0.91163,             0.74638,            0.019014,            0.013156,          0.00061615,           0.0086536,           0.0086536,           0.0086536
                 138,            0.021982,            0.021857,           0.0013853,             0.87832,             0.87243,              0.9092,             0.74605,            0.018775,            0.013145,          0.00059934,           0.0086437,           0.0086437,           0.0086437
                 139,            0.021642,            0.021792,            0.001432,             0.88204,              0.8734,             0.90781,             0.74342,            0.018983,            0.013174,          0.00060116,           0.0086338,           0.0086338,           0.0086338
                 140,             0.02213,            0.021791,           0.0014189,             0.86676,             0.87461,             0.90621,              0.7412,            0.018853,            0.013184,           0.0006299,           0.0086239,           0.0086239,           0.0086239
                 141,            0.022042,            0.021366,           0.0015675,              0.8595,             0.87649,             0.90508,             0.74265,             0.01875,             0.01324,          0.00065331,            0.008614,            0.008614,            0.008614
                 142,            0.021933,            0.021508,           0.0014265,             0.86992,             0.87044,             0.90377,             0.74291,            0.018979,            0.013276,          0.00067113,           0.0086041,           0.0086041,           0.0086041
                 143,            0.021738,            0.021372,           0.0014074,              0.8656,             0.87324,             0.90473,             0.74232,            0.019191,             0.01323,          0.00076265,           0.0085942,           0.0085942,           0.0085942
                 144,             0.02194,            0.021833,           0.0015376,             0.87552,             0.86783,              0.9069,             0.74287,            0.019324,            0.013255,          0.00076892,           0.0085843,           0.0085843,           0.0085843
                 145,            0.021923,            0.022175,             0.00161,             0.87357,             0.87127,             0.90619,             0.74092,            0.019004,             0.01329,          0.00071851,           0.0085744,           0.0085744,           0.0085744
                 146,            0.021698,            0.021808,           0.0014531,              0.8668,             0.87052,             0.90496,             0.73919,            0.018858,            0.013322,           0.0007208,           0.0085645,           0.0085645,           0.0085645
                 147,            0.021721,             0.02204,           0.0013185,             0.87314,             0.86437,             0.90325,             0.73954,            0.019076,             0.01336,          0.00076113,           0.0085546,           0.0085546,           0.0085546
                 148,            0.021505,             0.02159,           0.0014379,             0.87053,             0.87152,             0.90332,             0.73789,            0.019252,            0.013359,          0.00085167,           0.0085447,           0.0085447,           0.0085447
                 149,            0.021732,            0.021413,           0.0015003,             0.88199,             0.86583,             0.90612,             0.74354,            0.019107,            0.013343,          0.00075214,           0.0085348,           0.0085348,           0.0085348
                 150,            0.021148,            0.021626,           0.0014414,             0.87635,             0.86901,             0.90384,             0.74209,            0.018867,            0.013343,          0.00077265,           0.0085249,           0.0085249,           0.0085249
                 151,             0.02154,            0.020825,           0.0014127,             0.87959,             0.86921,             0.90489,             0.74462,            0.018744,            0.013289,          0.00068277,            0.008515,            0.008515,            0.008515
